"","sampleid","WGD","G2%","NA%","Total_100"
"1","CGP-10468","TRUE",98.9775055377276,1.02228017511956,TRUE
"2","CGP-10532","TRUE",81.3055088673134,12.686068779914,TRUE
"3","CGP-10535","TRUE",62.7660391384269,6.23914526342939,TRUE
"4","CGP-10634","TRUE",73.8485672095798,2.95370932959241,TRUE
"5","CGP-11013","TRUE",89.4485257712266,10.2266445505051,TRUE
"6","CGP-11058","TRUE",55.882807094939,0.872421096796026,TRUE
"7","CGP-11622","TRUE",92.1683959761873,1.22599174651092,TRUE
"8","CGP-11883","TRUE",90.056934704547,7.55894669341752,FALSE
"9","CGP-11994","TRUE",70.9222197918074,6.54063959628918,TRUE
"10","CGP-12909","TRUE",75.8161660140443,6.20300716966456,TRUE
"11","CGP-13218","TRUE",59.545468694897,9.06092405427327,TRUE
"12","CGP-13434","TRUE",91.9296957755704,2.12602377516791,TRUE
"13","CGP-14030","TRUE",92.8664642215166,5.90728150883989,TRUE
"14","CGP-14121","FALSE",34.0162371285202,6.79564249311937,TRUE
"15","CGP-14177","FALSE",8.58061512939329,5.94778779741552,FALSE
"16","CGP-14695","TRUE",89.0157228650632,5.3880775994314,TRUE
"17","CGP-14775","TRUE",98.4533676359725,1.54663236402752,TRUE
"18","CGP-15080","TRUE",66.9565087635263,2.18193011295501,TRUE
"19","CGP-15134","TRUE",91.5934690785196,1.99837266809118,TRUE
"20","CGP-15205","TRUE",74.2167813441236,2.59514545521487,TRUE
"21","CGP-15295","TRUE",87.3989518083089,1.79824021520854,TRUE
"22","CGP-15423+","TRUE",92.5578984600893,1.99248390142689,FALSE
"23","CGP-15887","TRUE",98.0928202651688,0.370894804847979,TRUE
"24","CGP-16591","FALSE",25.0004402136494,2.00971256871198,TRUE
"25","CGP-17088","TRUE",96.7825037730236,2.4445497993903,TRUE
"26","CGP-17113","TRUE",62.6188020030009,1.52324434088004,TRUE
"27","CGP-17297+","TRUE",82.9412304431846,0.369465607134077,TRUE
"28","CGP-17375","TRUE",96.8637835618147,3.13347507573521,TRUE
"29","CGP-18063","FALSE",22.9243597155611,1.22485632225203,TRUE
"30","CGP-18322+","FALSE",16.9487463907127,2.37709909122906,TRUE
"31","CGP-18378+","TRUE",97.020367713254,0.145181031298838,TRUE
"32","CGP-18659","FALSE",15.4545995487041,0.144118071155869,TRUE
"33","CGP-19810","TRUE",88.4387724866177,2.61265837835085,TRUE
"34","CGP-19821+","TRUE",95.6924498096941,4.3075501903059,TRUE
"35","CGP-20653+","FALSE",30.0928653827448,0.51064304041522,TRUE
"36","CGP-20740","TRUE",87.4921802067892,3.20522697025711,TRUE
"37","CGP-9239","FALSE",47.6538089792748,8.08209806557173,TRUE
"38","CGP-9364","FALSE",5.19199085007765,5.63415263800828,TRUE
